student_id,name,interests,preferences,grades_json
1,Daniel Marin_1,Arhitectura|Cercetare,Tehnic,"{""Economie"": 6.9, ""Chimie"": 9.3, ""Geografie"": 9.8, ""Istorie"": 7.3, ""Fizica"": 7.5, ""Limba Romana"": 7.5, ""Biologie"": 9.3, ""Matematica"": 7.9, ""Desen"": 7.2, ""Informatica"": 8.2}"
2,Roxana Nicolae_2,Antreprenoriat|Arheologie,Tehnic,"{""Informatica"": 6.1, ""Istorie"": 7.5, ""Biologie"": 8.7, ""Limba Romana"": 7.8, ""Matematica"": 8.5, ""Chimie"": 9.4, ""Desen"": 8.2, ""Economie"": 6.7, ""Geografie"": 8.8, ""Fizica"": 8.9}"
3,Stefan Georgescu_3,Mecanica|Electronica,Tehnic,"{""Matematica"": 8.2, ""Chimie"": 8.4, ""Economie"": 8.8, ""Limba Romana"": 9.1, ""Desen"": 7.5, ""Fizica"": 9.4}"
4,Stefan Nicolae_4,Istorie|Programare,Medical,"{""Desen"": 7.9, ""Chimie"": 8.0, ""Economie"": 9.4, ""Istorie"": 7.3, ""Limba Romana"": 8.5, ""Informatica"": 9.4, ""Matematica"": 6.6}"
5,Laura Marin_5,Cibernetica|Biologie,Tehnic|Financiar,"{""Geografie"": 7.7, ""Informatica"": 8.8, ""Matematica"": 7.8, ""Limba Romana"": 8.1, ""Fizica"": 8.2, ""Economie"": 8.1, ""Biologie"": 8.2, ""Chimie"": 9.4, ""Desen"": 8.1}"
6,Adriana Georgescu_6,Genetica|Geografie,Tehnic|Creativ,"{""Chimie"": 9.4, ""Geografie"": 7.3, ""Economie"": 7.9, ""Fizica"": 8.7, ""Desen"": 9.9, ""Limba Romana"": 7.7, ""Biologie"": 6.2, ""Informatica"": 8.2, ""Matematica"": 9.3}"
7,Gabriel Popescu_7,Istorie|Sociologie|Biologie,Umanist|Financiar,"{""Fizica"": 7.0, ""Informatica"": 7.7, ""Limba Romana"": 8.8, ""Matematica"": 7.5, ""Istorie"": 8.3, ""Chimie"": 7.6, ""Biologie"": 7.6, ""Economie"": 9.3}"
8,Gabriel Dumitrescu_8,Electronica|Antreprenoriat|Materiale,Stiintific,"{""Chimie"": 7.8, ""Istorie"": 6.9, ""Economie"": 8.5, ""Informatica"": 7.8, ""Fizica"": 7.0, ""Matematica"": 9.9}"
9,Ioana Petrescu_9,AI|Biologie|Mecanica|Programare,Creativ,"{""Fizica"": 9.3, ""Limba Romana"": 9.6, ""Desen"": 8.9, ""Istorie"": 7.0, ""Informatica"": 6.1, ""Matematica"": 7.4, ""Biologie"": 6.9, ""Chimie"": 6.6}"
10,Alexandru Stoica_10,Statistica|Cibernetica|Design|Arheologie,Stiintific,"{""Matematica"": 9.4, ""Geografie"": 9.9, ""Istorie"": 8.6, ""Biologie"": 7.0, ""Fizica"": 8.6, ""Desen"": 8.0, ""Economie"": 7.4, ""Chimie"": 6.8}"
11,Adriana Stanescu_11,Materiale|Inovatie|Chimie,Tehnic,"{""Informatica"": 9.7, ""Geografie"": 9.1, ""Limba Romana"": 6.8, ""Desen"": 7.0, ""Biologie"": 7.1, ""Matematica"": 10.0, ""Chimie"": 6.7, ""Istorie"": 7.0}"
12,Gabriel Olaru_12,Biologie|Design|Arhitectura|AI,Creativ,"{""Geografie"": 6.4, ""Matematica"": 8.2, ""Fizica"": 9.9, ""Desen"": 7.5, ""Chimie"": 9.2, ""Limba Romana"": 7.4, ""Biologie"": 8.7, ""Economie"": 6.3, ""Informatica"": 6.1}"
13,Roxana Vasilescu_13,Psihologie|Arheologie|Statistica|Genetica,Financiar,"{""Fizica"": 9.3, ""Desen"": 8.1, ""Geografie"": 9.4, ""Matematica"": 8.4, ""Chimie"": 9.4, ""Biologie"": 9.1}"
14,Mihai Dumitrescu_14,Geografie|Istorie|Marketing,Financiar,"{""Matematica"": 8.1, ""Istorie"": 7.0, ""Fizica"": 7.6, ""Biologie"": 7.2, ""Geografie"": 9.6, ""Chimie"": 8.0, ""Informatica"": 8.7}"
15,Ion Stanescu_15,Mecanica|Psihologie,Tehnic|Medical,"{""Limba Romana"": 6.7, ""Economie"": 6.5, ""Chimie"": 7.6, ""Biologie"": 9.4, ""Desen"": 8.2, ""Informatica"": 6.1, ""Fizica"": 7.8, ""Istorie"": 7.2, ""Matematica"": 7.2}"
16,Adriana Stanescu_16,Informatica|Antreprenoriat,Umanist|Social,"{""Geografie"": 6.6, ""Biologie"": 7.5, ""Matematica"": 8.1, ""Limba Romana"": 7.4, ""Istorie"": 9.8, ""Desen"": 6.3, ""Informatica"": 8.0}"
17,Alexandru Marin_17,Mecanica|Cibernetica|Marketing|Robotica,Social,"{""Matematica"": 7.8, ""Fizica"": 6.3, ""Geografie"": 7.7, ""Biologie"": 9.9, ""Limba Romana"": 6.9, ""Desen"": 6.1}"
18,Roxana Georgescu_18,AI|Medicina|Management,Umanist|Social,"{""Matematica"": 9.7, ""Biologie"": 7.0, ""Istorie"": 9.2, ""Fizica"": 7.1, ""Desen"": 6.3, ""Geografie"": 8.9, ""Limba Romana"": 8.5, ""Informatica"": 9.5, ""Chimie"": 6.4, ""Economie"": 9.0}"
19,Daniel Stanescu_19,Biologie|Marketing,Financiar|Umanist,"{""Istorie"": 8.3, ""Chimie"": 6.1, ""Desen"": 8.3, ""Economie"": 8.7, ""Fizica"": 8.7, ""Biologie"": 6.7, ""Geografie"": 9.2, ""Matematica"": 7.4}"
20,Roxana Radu_20,Robotica|Programare,Financiar,"{""Limba Romana"": 8.8, ""Matematica"": 6.9, ""Chimie"": 6.2, ""Economie"": 7.9, ""Biologie"": 7.6, ""Informatica"": 10.0, ""Desen"": 7.5}"
21,Mihai Georgescu_21,Statistica|AI|Cibernetica|RI,Tehnic|Medical,"{""Limba Romana"": 7.2, ""Geografie"": 6.9, ""Economie"": 7.2, ""Matematica"": 6.0, ""Desen"": 8.3, ""Informatica"": 8.6, ""Fizica"": 9.5, ""Istorie"": 7.2}"
22,Mihai Olaru_22,Medicina|Antreprenoriat,Stiintific,"{""Limba Romana"": 8.9, ""Economie"": 6.7, ""Geografie"": 9.1, ""Desen"": 7.5, ""Matematica"": 8.7, ""Informatica"": 8.5, ""Chimie"": 6.7, ""Istorie"": 9.5, ""Biologie"": 6.0, ""Fizica"": 8.3}"
23,Alexandru Stoica_23,Genetica|Design,Creativ,"{""Desen"": 8.2, ""Limba Romana"": 9.2, ""Chimie"": 8.0, ""Fizica"": 6.3, ""Biologie"": 7.7, ""Informatica"": 7.2, ""Economie"": 6.4}"
24,Adriana Dumitrescu_24,Mecanica|Psihologie|Medicina|Design,Umanist|Stiintific,"{""Istorie"": 8.2, ""Matematica"": 8.5, ""Limba Romana"": 9.3, ""Economie"": 6.4, ""Geografie"": 8.4, ""Fizica"": 8.6, ""Desen"": 9.1, ""Biologie"": 7.1}"
25,Daniel Vasilescu_25,Psihologie|Fizica|Materiale|RI,Creativ,"{""Fizica"": 7.7, ""Limba Romana"": 8.8, ""Informatica"": 8.5, ""Biologie"": 6.7, ""Matematica"": 8.1, ""Geografie"": 9.1, ""Economie"": 7.5}"
26,Mihai Popescu_26,Istorie|Programare|Design|Finante,Financiar,"{""Istorie"": 9.5, ""Limba Romana"": 8.0, ""Informatica"": 6.5, ""Fizica"": 6.3, ""Economie"": 6.5, ""Matematica"": 6.5, ""Desen"": 6.4}"
27,Ioana Vasilescu_27,Materiale|Design|Matematica|Marketing,Stiintific,"{""Matematica"": 6.3, ""Informatica"": 6.1, ""Limba Romana"": 7.3, ""Desen"": 6.3, ""Chimie"": 9.6}"
28,Maria Petrescu_28,Arhitectura|Design,Financiar,"{""Biologie"": 9.3, ""Informatica"": 9.0, ""Limba Romana"": 7.7, ""Geografie"": 8.6, ""Desen"": 7.1, ""Matematica"": 9.7, ""Istorie"": 6.7, ""Fizica"": 7.0, ""Chimie"": 8.1}"
